DATE,BOROUGH,DIRECTION,MAIN STREET,CROSS STREET,TYPE,TRUCK ROUTE,STRUCK OVERPASS,STATE OF OPERATORS LICENSE,BRIDGE IDENTIFICATION NUMBER,LATITUDE,LONGITUDE,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
05/04/2016,BROOKLYN,W/B,BROOKLYN QUEENS EXPRESSWAY,69th STREET,STRIKE,YES,YES,NY,2230550,40.749883,-73.897232,POINT (-73.897232 40.749883),14787,53,3,33,66
08/29/2014,BROOKLYN,E/B,BELT PARKWAY,BAY 16th STREET,STRIKE,NO,NO,N/A,2231290,40.601279,-74.011265,POINT (-74.011265 40.601279),17616,1,2,44,37
06/22/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
01/11/2013,MANHATTAN,N/B,PARK AVENUE TUNNEL,EAST 39th STREET,STRIKE,NO,NO,N/A,2246550,40.750227,-73.979071,POINT (-73.979071 40.750227),12078,71,4,51,9
10/13/2016,QUEENS,W/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,N/A,2231590,40.666703,-73.81036,POINT (-73.81036 40.666703),24339,62,3,46,64
03/28/2018,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,N/A,2229470,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
11/02/2015,QUEENS,W/B,GRAND CENTRAL PARKWAY,ROOSEVELT AVENUE,STRIKE,NO,YES,TX,1055930,40.752716,-73.852024,POINT (-73.852024 40.752716),14510,65,3,21,68
04/18/2017,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,VA,2229470,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
08/27/2018,BROOKLYN,E/B,BELT PARKWAY,EAST 14th STREET,STRIKE,NO,YES,MO,2233080,40.585038,-73.954744,POINT (-73.954744 40.585038),13826,32,2,15,36
03/08/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,WA,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
10/29/2018,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,N/A,2229670,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
01/02/2019,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,VA,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
01/27/2019,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,YES,N/A,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
05/15/2015,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,GA,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
07/27/2013,QUEENS,S/B,CROSS ISLAND PARKWAY,DOUGLASTON PARKWAY,STRIKE,NO,YES,NJ,2266139,40.751664,-73.742826,POINT (-73.742826 40.751664),14197,26,3,16,69
07/30/2013,QUEENS,W/B,LONG ISLAND EXPRESSWAY,SPRINGFIELD BOULEVARD,STRIKE,YES,YES,NY,1055320,40.749411,-73.756855,POINT (-73.756855 40.749411),14506,26,3,16,69
02/20/2015,QUEENS,E/B,QUEENS BOULEVARD,WOODHAVEN BLVD,STRIKE,YES,YES,N/A,2248159,40.733479,-73.87048,POINT (-73.87048 40.733479),14784,66,3,5,68
